id,name,surname,club,categories
,Adrian,WEBER,Wrocław/Body Change Center,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Tomasz,WRÓBLEWSKI,Bolesławiec/CKB Bolesławiec,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Paweł,ZAPOTOCZNY,Ząbkowice Śląskie/Teamsobala,"Amator Mężczyzn +85 kg / Man Amateur +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Wojciech,WALIGÓRA,Koszalin/Lumberjacks Cross Garage,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Hubert,HUT,Ząbkowice Śląskie/Teamsobala,"Amator Mężczyzn +85 kg / Man Amateur +85 kg,Junior 16 Chłopców / Boys Junior 16"
,Sebastian,BĄK,Środa Wielkopolska/Orange Fintess Club,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Wojciech,BEDNARCZYK,Sosnowiec/Teamsobala,"Amator Mężczyzn 85 kg / Man Amateur 85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Marcin,BEDRUNKA,CKB Hall of madness Siemianowice Śląskie,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Daniel,BURCHAŁA,Kraków,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Łukasz,BZDYRA,Oława/Synergia Cross Camp,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Damian,CICHOCKI,Wrocław/Body Change Center,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Krzysztof,CZYŻYK,Łódź/Trening jest celem,"Amator Mężczyzn 85 kg / Man Amateur 85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Krzysztof,DEMUS,Ełk/Imperium Siły,"Amator Mężczyzn 85 kg / Man Amateur 85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Marcin,DUBIEL,Oława/Synergia Cross Camp,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Hubert,DYONIZIAK,Warszawa/Teamsobala,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Oskar,FELEK,Kraśnik/CKB Kraśnik,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Adam,GAJEWICZ,Łódź/Dzik Komando,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Michał,GANCARCZYK,Jelenia Góra/CKB Jelenia Góra,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Szymon,GAWĄD,Bochnia/Centrum Kettlebell Bochnia,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Maksymilian,GOLONKA,Jelenia Góra/CKB Jelenia Góra,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Robert,GUT,Bochnia/Centrum Kettlebell Bochnia,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Paweł,HEBA,Warszawa/Hardstyle Warszawa,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Michał,JAŃCZYK,Łódź/Bajera Team,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Paweł,KARCZEWSKI,Gdańsk/CKB Gdańsk,Amator Mężczyzn 85 kg / Man Amateur 85 kg
,Kacper,KOŚKA,Milanówek/CKB Iron Family,Amator Mężczyzn 85 kg / Man Amateur 85 kg
